protocol,length,src_port,dst_port,anomaly
5,60,40230.0,1600.0,0
5,60,40230.0,2010.0,0
5,60,40230.0,3493.0,0
5,60,40230.0,4662.0,0
5,60,40230.0,3580.0,0
5,60,40230.0,49160.0,1
5,60,40230.0,9080.0,0
5,60,40230.0,7435.0,0
5,60,40230.0,5998.0,0
5,60,40230.0,17988.0,0
5,60,40230.0,5560.0,0
5,60,40230.0,2608.0,0
5,60,40230.0,9110.0,0
5,60,40230.0,49.0,0
5,60,40230.0,1130.0,0
5,60,40230.0,5054.0,0
5,60,40235.0,135.0,0
5,58,135.0,40235.0,1
5,60,40235.0,135.0,0
5,60,40232.0,3703.0,0
5,60,40232.0,5030.0,0
5,60,40230.0,10243.0,0
5,60,40230.0,49154.0,1
5,60,40230.0,3809.0,0
5,60,40230.0,9944.0,0
5,60,40230.0,2161.0,0
5,60,40230.0,4005.0,0
5,60,40230.0,32773.0,0
5,60,40230.0,7100.0,0
5,60,40230.0,7000.0,0
5,60,40230.0,2875.0,0
5,60,40230.0,3261.0,0
5,60,40230.0,3128.0,0
5,60,40230.0,700.0,0
5,60,40230.0,1058.0,0
5,60,40230.0,464.0,0
5,60,40230.0,4998.0,0
5,60,40230.0,6580.0,0
5,60,40230.0,5550.0,0
5,60,40230.0,3995.0,0
5,60,40230.0,8090.0,0
5,60,40230.0,1580.0,0
5,60,40230.0,16001.0,0
5,60,40230.0,34571.0,1
5,60,40230.0,3945.0,0
5,60,40230.0,20828.0,0
5,60,40230.0,1119.0,0
5,60,40230.0,3324.0,0
5,60,40230.0,15000.0,0
5,60,40230.0,5500.0,0
5,60,40230.0,3325.0,0
5,60,40230.0,4567.0,0
5,60,40230.0,20005.0,0
5,60,40230.0,981.0,0
5,60,40230.0,9535.0,0
5,60,40230.0,4129.0,0
5,60,40230.0,8290.0,0
5,60,40230.0,9011.0,0
5,60,40230.0,3211.0,0
5,60,40230.0,1113.0,0
5,60,40230.0,8333.0,0
5,60,40230.0,1322.0,0
5,60,40230.0,8086.0,0
5,60,40230.0,8088.0,0
5,60,40230.0,25734.0,1
5,60,40230.0,8443.0,0
5,60,40230.0,2500.0,0
5,60,40230.0,8800.0,0
5,60,40230.0,515.0,0
5,60,40232.0,1600.0,0
5,60,40230.0,2869.0,0
5,60,40230.0,9968.0,0
5,60,40230.0,1433.0,0
5,60,40230.0,5120.0,0
5,60,40230.0,41511.0,1
5,60,40230.0,3369.0,0
5,60,40230.0,8021.0,0
5,60,40230.0,1216.0,0
5,60,40230.0,49400.0,1
5,60,40232.0,2010.0,0
5,60,40232.0,4662.0,0
5,60,40232.0,3493.0,0
5,60,40232.0,3580.0,0
5,60,40232.0,49160.0,0
5,60,40232.0,9080.0,0
5,60,40232.0,7435.0,0
5,60,40232.0,17988.0,0
5,60,40232.0,5998.0,0
5,60,40232.0,5054.0,0
5,60,40232.0,1130.0,0
5,60,40232.0,49.0,0
5,60,40232.0,9110.0,0
5,60,40232.0,2608.0,0
5,60,40232.0,5560.0,0
