time,src_ip,dst_ip,protocol,length,src_port,dst_port,label
1774124084.109966200,192.168.159.130,192.168.159.128,TCP,60,40232,2035,1
1774124084.112147000,192.168.159.130,192.168.159.128,TCP,60,40232,1075,1
1774124084.112194000,192.168.159.130,192.168.159.128,TCP,60,40232,5510,1
1774124084.114347700,192.168.159.130,192.168.159.128,TCP,60,40232,4125,1
1774124084.114395500,192.168.159.130,192.168.159.128,TCP,60,40232,548,1
1774124084.114410800,192.168.159.130,192.168.159.128,TCP,60,40232,5060,1
1774124084.114425000,192.168.159.130,192.168.159.128,TCP,60,40232,301,1
1774124084.114439000,192.168.159.130,192.168.159.128,TCP,60,40232,6003,1
1774124084.114452900,192.168.159.130,192.168.159.128,TCP,60,40232,44501,1
1774124084.116658100,192.168.159.130,192.168.159.128,TCP,60,40232,65000,1
1774124084.116703900,192.168.159.130,192.168.159.128,TCP,60,40232,44176,1
1774124084.116718600,192.168.159.130,192.168.159.128,TCP,60,40232,5859,1
1774124084.116741200,192.168.159.130,192.168.159.128,TCP,60,40232,3914,1
1774124084.116755400,192.168.159.130,192.168.159.128,TCP,60,40232,1149,1
1774124084.204862900,192.168.159.130,192.168.159.128,TCP,60,40230,1277,1
1774124084.208049200,192.168.159.130,192.168.159.128,TCP,60,40230,146,1
1774124084.208243000,192.168.159.130,192.168.159.128,TCP,60,40230,311,1
1774124084.210528000,192.168.159.130,192.168.159.128,TCP,60,40230,1040,1
1774124084.210629800,192.168.159.130,192.168.159.128,TCP,60,40230,12265,1
1774124084.215401900,192.168.159.130,192.168.159.128,TCP,60,40230,1062,1
1774124084.215741300,192.168.159.130,192.168.159.128,TCP,60,40230,10002,1
1774124084.218020000,192.168.159.130,192.168.159.128,TCP,60,40230,6112,1
1774124084.218134600,192.168.159.130,192.168.159.128,TCP,60,40230,212,1
1774124084.218333600,192.168.159.130,192.168.159.128,TCP,60,40230,5440,1
1774124084.218871100,192.168.159.130,192.168.159.128,TCP,60,40230,15002,1
1774124084.219018000,192.168.159.130,192.168.159.128,TCP,60,40230,2049,1
1774124084.219122000,192.168.159.130,192.168.159.128,TCP,60,40230,2251,1
1774124084.219198800,192.168.159.130,192.168.159.128,TCP,60,40230,1076,1
1774124084.219744000,192.168.159.130,192.168.159.128,TCP,60,40230,2725,1
1774124084.219942200,192.168.159.130,192.168.159.128,TCP,60,40230,8652,1
1774124084.219992500,192.168.159.130,192.168.159.128,TCP,60,40230,280,1
1774124084.220033800,192.168.159.130,192.168.159.128,TCP,60,40230,6689,1
1774124084.305238000,192.168.159.130,192.168.159.128,TCP,60,40232,1277,1
1774124084.308205700,192.168.159.130,192.168.159.128,TCP,60,40232,146,1
1774124084.310431200,192.168.159.130,192.168.159.128,TCP,60,40232,311,1
1774124084.313001600,192.168.159.130,192.168.159.128,TCP,60,40232,12265,1
1774124084.313159500,192.168.159.130,192.168.159.128,TCP,60,40232,1040,1
1774124084.315435400,192.168.159.130,192.168.159.128,TCP,60,40232,1062,1
1774124084.317617000,192.168.159.130,192.168.159.128,TCP,60,40232,10002,1
1774124084.320436400,192.168.159.130,192.168.159.128,TCP,60,40232,6689,1
1774124084.320518000,192.168.159.130,192.168.159.128,TCP,60,40232,280,1
1774124084.320555600,192.168.159.130,192.168.159.128,TCP,60,40232,8652,1
1774124084.320594100,192.168.159.130,192.168.159.128,TCP,60,40232,2725,1
1774124084.320641500,192.168.159.130,192.168.159.128,TCP,60,40232,1076,1
1774124084.320682300,192.168.159.130,192.168.159.128,TCP,60,40232,2251,1
1774124084.320720500,192.168.159.130,192.168.159.128,TCP,60,40232,2049,1
